uuid,title,description,keywords,snippet,url,image_url,language,published_at,source,categories,relevance_score
5b7a1004-6a39-4699-9851-c5693e6d85b0,Jair Bolsonaro Fast Facts,Read CNN's Jair Bolsonaro Fast Facts to learn more about the president of Brazil.,"jair bolsonaro, political figures - intl, brazil, continents and regions, elections and campaigns, government and public administration, latin america, luiz inacio lula da silva, political candidates, politics, south america, the americas, fast facts, government organizations - us, us congress, government bodies and offices, us federal government, white house, executive orders, armed forces, military, amazon rainforest, amazon river, physical locations, rivers, lakes and falls (by name), coronavirus, diseases and disorders, health and medical, infectious diseases, life forms, microscopic life, viruses, cnn fast facts, crime, law enforcement and corrections, crimes against persons, criminal offenses, stabbings","Brazil's new president Jair Bolsonaro gestures after receiving the presidential sash from outgoing Brazilian president Michel Temer (out of frame), at Planalto ...",https://www.cnn.com/2019/01/29/americas/jair-bolsonaro-fast-facts/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/190104160550-jair-bolsonaro-january-1.jpg?q=x_28,y_60,h_850,w_1511,c_crop/w_800",en,2022-07-09T15:07:05.000000Z,cnn.com,['general'],2.7710452
3ad1a73a-83e5-4dde-afcb-f65923c33254,Why did Ohio officers handcuff Jayland Walker after shooting him dozens of times?,"The decision by Ohio police officers to handcuff Jayland Walker after they fired dozens of shots, killing the unarmed 25-year-old at the end of a high-speed cha...","us, Why did Ohio officers handcuff Jayland Walker after shooting him dozens of times? - CNN","(CNN) The decision by Ohio police officers to handcuff Jayland Walker after they fired dozens of shots, killing the unarmed 25-year-old at the end of a high-spe...",https://www.cnn.com/2022/07/09/us/jayland-walker-police-handcuffs/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220708140204-01-jayland-walker-body-cam-footage-super-tease.jpg,en,2022-07-09T23:51:27.000000Z,cnn.com,['general'],2.9786196
f106ade9-2085-49bd-8d9b-f455c96d830e,Shinzo Abe assassination: Japan votes in election billed as 'defense of democracy',"Japanese voters headed to the polling stations on Sunday for an election billed as a defense of democracy, just two days after former Prime Minister Shinzo Abe ...","asia, Shinzo Abe assassination: Japan votes in election billed as 'defense of democracy' - CNN","Tokyo (CNN) Japanese voters headed to the polling stations on Sunday for an election billed as a defense of democracy, just two days after former Prime Minister...",https://www.cnn.com/2022/07/10/asia/japan-elections-voters-shinzo-abe-assassinated-intl-hnk/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220709214431-02-japan-vote-after-shinzo-abe-assasinated-super-tease.jpg,en,2022-07-10T05:47:34.000000Z,cnn.com,['general'],3.3556714
65a51d52-5904-4517-b5a8-699ab16e7620,"A 14-year-old is fatally stabbed at a train station in New York, authorities say","Officers found the boy on a train platform with a stab wound to the abdomen, police said in a statement. Preliminary investigations indicate a fight began on th...","us, Subway stabbing: A 14-year-old is fatally stabbed at a train station in New York, authorities say - CNN","(CNN) A 14-year-old boy who was stabbed during a fight inside a subway station on Saturday has died, according to the New York Police Department.

Officers resp...",https://www.cnn.com/2022/07/10/us/new-york-city-weekend-attacks/index.html,https://cdn.cnn.com/cnnnext/dam/assets/171031103700-nypd-badge-stock-super-tease.jpg,en,2022-07-10T08:17:13.000000Z,cnn.com,['general'],6.898828
aea17e57-3d4d-4b40-84b7-67228819ee45,"After a massacre took one of their own, the 'Cheers' of Highland Park has turned into a refuge of support and healing",The barstool on the far left at Norton's Restaurant shouldn't be empty.,"us, After a massacre took one of their own, the 'Cheers' of Highland Park has turned into a pillar of support and healing - CNN","Highland Park, Illinois (CNN) The barstool on the far left at Norton's Restaurant shouldn't be empty.

Every week, 88-year-old Stephen Straus filled the seat wi...",https://www.cnn.com/2022/07/10/us/highland-park-nortons-restaurant-cheers/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220707000951-02-highland-park-businesses-shooting-aftermath-cnnphotos-super-tease.jpg,en,2022-07-10T12:27:43.000000Z,cnn.com,['general'],3.0945225
f2ab296e-be1a-4792-a11d-c70370f59add,5 people injured in an overnight shooting on New York City's Coney Island boardwalk,"Five people were injured in a shooting on the boardwalk near the popular amusement area of New York City's Coney Island early Sunday morning, authorities said.","us, 5 people injured in an overnight shooting on New York City's Coney Island boardwalk - CNN","(CNN) Five people were injured in a shooting on the boardwalk near the popular amusement area of New York City's Coney Island early Sunday morning, authorities ...",https://www.cnn.com/2022/07/10/us/coney-island-shooting-brooklyn-injured/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220201032548-nypd-logo-fle-12152021-super-tease.jpg,en,2022-07-10T17:05:01.000000Z,cnn.com,['general'],6.2030973
db55a84c-6192-422e-a55e-91e93a6f947f,Shinzo Abe's party sweeps to election victory in Japan days after his assassination: NHK,Japan's ruling coalition swept to victory on Sunday in an upper house election that took on heightened significance following the assassination of former Prime ...,"asia, Shinzo Abe assassination: Japan's LDP sweeps to upper house election victory days after killing - CNN",Tokyo (CNN) Japan's ruling coalition swept to victory on Sunday in an upper house election that took on heightened significance following the assassination of f...,https://www.cnn.com/2022/07/11/asia/shinzo-abe-ldp-upper-house-election-japan-intl-hnk/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220709222030-03-japan-vote-after-shinzo-abe-assasinated-super-tease.jpg,en,2022-07-11T05:51:31.000000Z,cnn.com,['general'],3.0945225
382dacac-29a9-4ba7-b3cd-83e5ed8b3d63,"They moved to Highland Park for the schools, the space and the safety. What now?","A stroll through Central Avenue's tree-lined, cobblestone sidewalks shows the appeal of suburban Highland Park.","us, Highland Park shooting: They moved for the schools, the space and the safety. What now? - CNN","(CNN) A stroll through Central Avenue's tree-lined, cobblestone sidewalks shows the appeal of suburban Highland Park.

The boutique stores that dot the street a...",https://www.cnn.com/2022/07/11/us/highland-park-shooting-weekend/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220708171721-05-highland-park-shooting-weekend-super-tease.jpg,en,2022-07-11T10:39:30.000000Z,cnn.com,['general'],5.026824
1102f107-2569-459d-a41e-8c9435ff2960,"Tops supermarket in Buffalo, where 10 were killed, to reopen Friday","The Tops Friendly Markets store in Buffalo, New York, where 10 people were shot and killed in May will ""quietly and respectfully"" reopen Friday morning, company...","buffalo, continents and regions, crime, law enforcement and corrections, crimes against persons, criminal offenses, discrimination, hate crimes, homicide, murder, new york (state), north america, northeastern united states, shootings, societal issues, society, the americas, united states, violence in society","Members of the Buffalo Police department work at the scene of a shooting at a Tops supermarket in Buffalo, New York, U.S. May 17, 2022. REUTERS/Brendan McDermid...",https://www.cnn.com/2022/07/11/us/buffalo-tops-supermarket-reopening/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/220517233656-buffalo-shooting-scene-swat-0517.jpg?c=16x9&q=w_800,c_fill",en,2022-07-11T22:02:18.000000Z,cnn.com,['general'],8.064845
c531b857-1c2f-42e2-bcac-12a5b3c953b1,Tuesday's January 6 hearing is focusing on extremist groups. Here are some names you might hear.,"The House select committee investigating the January 6, 2021, US Capitol insurrection is holding a hearing Tuesday focusing on the role of extremist groups in t...","politics, Tuesday's January 6 hearing is focusing on extremist groups. Here are some names you might hear. - CNNPolitics","(CNN) The House select committee investigating the January 6, 2021, US Capitol insurrection is holding a hearing Tuesday focusing on the role of extremist group...",https://www.cnn.com/2022/07/11/politics/january-6-hearing-biographies/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220711162849-stewart-rhodes-feb-2021-super-tease.jpg,en,2022-07-12T01:07:16.000000Z,cnn.com,['general'],2.9786196
9526bbef-68d0-467b-a289-5d45f0203938,"Tech company CEO arrested and charged with murder in 1992 killing of California woman, DA says","A tech company CEO, who was tried twice in the 1992 killing of his roommate's girlfriend, has been arrested and charged with murder in the case, a California pr...","us, ReadyTech CEO John Kevin Woodward arrested on murder charge, DA says - CNN","(CNN) A tech company CEO, who was tried twice in the 1992 killing of his roommate's girlfriend, has been arrested and charged with murder in the case, a Califor...",https://www.cnn.com/2022/07/12/us/john-kevin-woodward-arrested-murder-charge/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220712120835-laurie-houts-file-super-tease.jpg,en,2022-07-12T16:42:22.000000Z,cnn.com,['general'],5.065642
65d80d6f-b874-4643-affc-f62147fe90ce,Steve Dettelbach: Senate confirms Biden pick to lead ATF,"The Senate voted on Tuesday to confirm Steve Dettelbach as President Joe Biden's pick to run the Bureau of Alcohol, Tobacco, Firearms and Explosives.","bureau of alcohol, tobacco, firearms and explosives, government and public administration, government organizations - us, joe biden, political figures - us, politics, us congress, us department of justice, us federal departments and agencies, us senate","President Joe Biden listens as Steve Dettelbach, nominee for Director of the Bureau of Alcohol, Tobacco, Firearms and Explosives, speaks on measures to combat g...",https://www.cnn.com/2022/07/12/politics/senate-confirms-steve-dettelbach-atf-director/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/220411152843-biden-dettelbach-0411.jpg?c=16x9&q=w_800,c_fill",en,2022-07-12T19:33:19.000000Z,cnn.com,['general'],4.909288
